題號,題目,選項A,選項B,選項C,選項D,答案
14,臺灣造林應優先考量的區域不包括下列哪些地區？,山坡地,復耕性低或污染整治完成之農地,都會公園,嚴重地層下陷地區,C
15,以下哪個選項最能準確地定義「淨零排放」？,減少人類活動，避免溫室氣體排放,排放的溫室氣體總量，與吸收或封存的量加總為零,使用先進技術，將大氣中的溫室氣體完全排除,全球所有國家設定相同的碳排放目標,B
16,關於環境危害的對應，下列何者正確？,游離輻射—物理性危害,振動—生物性危害,噪音—化學性危害,過敏—物理性危害,A
17,自107年1月1日起，購物用塑膠袋之管制對象，已由原本7大類擴大為幾類？,10大類,12大類,14大類,16大類,C
18,臺灣由哪一個政府部門訂定「農藥殘留容許量標準」，抽查已上市農產品的食品安全，以防止POPs殘留危害人體健康？,衛生福利部,農業部,環境部,經濟部,A
19,下列何者「不是」飲用水水質標準中物理性之標準項目？,臭度,濁度,硬度,色度,C
20,下列關於土石流的敘述，哪一個「錯誤」？,人類不當開發山坡地，會加劇土石流的發生,應在山坡地上多種植根較深的植物，以穩固疏鬆的土石,開發山坡地時，應做好排水系統，才能減緩土石流發生,開發山坡地時，應選擇陡坡，因為其排水系統良好，能夠避免土石流發生,D
21,下列何者是環境自燃導致森林大火的原因？,高溫及太乾燥所產生的大火,為了土地開發所產生的大火,因為人類在森林留下火種導致大火,飛機墜落引發火災,A
22,面臨缺水危機，各水庫蓄水率偏低，政府啟動抗旱行動，從三個面向推動節水措施。以下何者不是節水的面向？,再生水,雨水貯留,海水淡化,抽地下水,D
23,「在維持基本生活所需，並追求更佳生活品質之同時，降低天然資源與毒性物質之使用及污染物排放，目的在不影響後代子孫權益的消費模式。」是何種消費模式？,在地消費,經濟消費,綠色消費,刺激消費,C
24,依據《文化資產保存法》，「自然地景與自然紀念物」也屬於文化資產的一部分。請問負責管理這類文化資產的哪一個中央主管機關？,文化部,衛生福利部,農業部,環境部,C
25,啤酒中最重要的發酵微生物是什麼？,鏈球菌,酵母菌,擬桿菌,綠瘤菌,B
26,下列何者不是環保標章產品的特性？,可回收,較貴,省資源,低污染,B
27,下列何者屬於點源污染？,施灌肥料,工廠廢水,噴灑農藥,酸雨,B
28,下列哪一項非我國針對污染防治制定的專門法規？,公害糾紛處理法,廢棄物清理法,空氣污染防制法,水污染防治法,A
29,這個國定考古遺址位在宜蘭與花蓮交界處，東側緊鄰太平洋。經歷了新石器時代到金屬器時代的變遷，於蘇花改工程中被發現，出土銅幣、玻璃、瓷器、瑪瑙等，顯示當時海上貿易相當活絡。請問以上敘述的是哪一個考古遺址？,丸山考古遺址,大坌坑考古遺址,Blihun漢本考古遺址,曲冰考古遺址,C
30,當藻類因優養化大量繁殖，夜間常會造成魚類大量死亡的原因為何？,水溫過低,缺乏食物,溶氧不足,酸鹼度過高,C
31,下列何者為PM2.5所使用的粒徑單位？,公分(cm),毫米(mm),微米(µm),奈米(nm),C
32,與自然萬物和諧共處，以「燒墾游耕」方式放火燒草而不施肥，請問這是哪一族群的傳統農耕技法？,泰雅族,平埔族,西拉雅族,邵族,C
33,下列對於「藍碳」及「碳中和」之敘述何者正確？,藍碳無法儲存碳，不具減碳效益,藍碳可作為碳排放抵換方式之一,藍碳生態系只能產生氧氣，無其他用途,碳中和僅與陸地森林有關，無涉海洋,B
34,關於社區參與對生態永續發展的影響，下列哪一項敘述最不恰當？,社區參與可以推動有效的生態旅遊，減少對環境的破壞。,社區居民一起參與環境保護，有助於提升社區凝聚力。,社區的聲音可能影響政策的制定與執行。,生態保育應由政府主導，社區配合為宜。,D
35,DDT造成生物放大效應的原因為何？,因DDT在生物體內無法分解，在生物體內的濃度隨著食物鏈的階層逐漸增加,因高級消費者體內分解DDT的能力較生產者低,因為較大型的動物偏好捕食具DDT的生物,因DDT使受污染生物的總生物量增大,A
36,下列何者是因超抽地下水所導致的狀況？,近海土地鹽化,河川枯竭,土地生產力提高,珊瑚死亡,A
37,宜蘭頭城海邊常常可以看到很多海洋垃圾，縣政府和學校合作，帶領學生們一起去海邊做什麼活動，讓大家更認識環保呢？,舉辦大胃王比賽推廣漁特產品,舉辦淨灘活動，撿拾海廢垃圾,舉辦海上摩托車比賽促進觀光,晚上放煙火慶祝欣賞海邊星空,B
38,環境部推行的「環保集點制度」中，下列哪一個通路不是合作兌換通路？,7-ELEVEN,全家便利商店,家樂福,燦坤3C,C
39,下列何者非我國「減碳行動計畫」六大部門之一？,住商部門,農業部門,資訊部門,製造部門,C
40,哪一個「永續發展目標（SDGs）」與減少污染最有關？,責任消費與生產,經濟發展,消除貧窮,性別平等,A
41,沿海城市預測將受海平面上升與強颱侵襲影響，城市正在規劃「氣候韌性城市」。下列哪一項最符合氣候韌性城市的設計理念？,增加觀光飯店設施,擴大港口貿易容量,廢除氣象預警系統以節省成本,提高防洪堤與綠地滯洪設施,D
42,在台灣離島的「海水淡化廠」主要供應對象是？,工業用水,農業用水,民生用水,服務業用水,C
43,以下哪一種行為符合『源頭減量』的環保原則？,自帶環保購物袋,多拿幾個塑膠袋,使用塑膠吸管,將垃圾丟棄山區,A
44,依據吃好魚宣言所提出的「海鮮選購三優先」下列何者非優先考量？,國產魚優先,有標章優先,中低階優先,仔稚魚優先,D
45,以下哪一項不是防治土壤與地下水污染主要關注的場址？,農地,加油站及大型儲油槽,不明廢棄物非法棄置場址,河川堤岸綠地,D
46,下列何者是利用垃圾焚化廠處理垃圾的最主要優點？,消除所有毒性,減少原本的垃圾體積,降低空氣污染,簡化處理垃圾的程序,B
47,有關水足跡(water footprint)的概念「不包括」以下哪一項思維？,標示產品製程之耗水量,鼓勵購買使用國外進口的瓶裝水,推動水資源回收再利用及節約用水獎勵機制,推動產業建立節水製程,B
48,下列何者為泰雅族傳統織布的重要原料？,棉花,亞麻,黃麻,苧麻,D
49,以下哪一種細菌對珊瑚的生長有重要的影響？,鏈黴菌,葡萄球菌,乳酸菌,綠硫菌,D
50,下列何者不是我國永續能源政策綱領的「二高二低」政策原則之一？,低排放,低依賴,高效率,高經濟,D
51,根據《文化資產保存法》，下列何者敘述錯誤？,毀損或移走古蹟，可能判刑並罰錢。,文化資產若損壞，要回復原狀，若無法回復則賠償損害。,國寶或重要古物要出國，需先申請主管機關核准。,公有古物想要複製收藏，為個人行為，政府不會干涉。,D
52,有關綠建築的概念以下何者錯誤？,在建築淨零的概念中同時包括減少使用碳及減少蘊含碳,使用碳主要來自照明或用電,蘊含碳主要來自建材的製程或原料材質,蘊含碳基本上都是固定的，無論哪種選擇都無法達成溫室氣體的,D
53,下列關於土石流的防災方法，何者有誤？,建造擋土牆,疏通排水系統,避開災害敏感區,廣泛種植淺根系植物,D
54,為減少一次性用品浪費，環境部公告「一次用旅宿用品限制使用對象及實施方式」，旅宿業及其他住宿業者不得提供容量小於多少的盥洗或保養用品？,180mL,200mL,220mL,240mL,A
55,什麼原因讓人類不惜造成環境污染，也要開採稀土金屬？,只需少量稀土金屬，即可發電,可以提煉出黃金,為3C產品中不可或缺的材料,可以製成珍貴藥物,C
56,下列何者為PM2.5所使用的粒徑單位？,公分(cm),毫米(mm),微米(µm),奈米(nm),C
57,酵母菌在沒有氧氣的環境下，會將糖分轉換為哪兩種物質？,氧氣和二氧化碳,酒精和二氧化碳,酒精和水,二氧化碳和乳酸,B
58,如果想了解臺灣是如何保護環境的，應該找哪一個政府單位？,農業部,環境部,教育部,衛生福利部,B
59,下列何者是目前臺灣生物資源遭受威脅的主因之一？,生物因天擇被淘汰,因原生生物彼此競爭大，導致物種減少,土地過度開發或不當利用,遭到天敵捕獵,C
60,下列何者非我國「減碳行動計畫」六大部門之一？,住商部門,農業部門,資訊部門,製造部門,C
61,「可再生能源」是指由各種可持續補充的自然資源(包括日光、風、雨、潮汐、地熱等)中取得的能源型式。下列與可再生能源有關的敘述，何者錯誤？,太陽輻射的能量是由其內部的核能轉換而來,風力發電需要設置在合適的地點，才能有效運作,地熱能危險性太高，不適合做為常態使用的能源型式,潮汐之所以可以提供能量，是源自太陽與月球對海水的引力作用,C
62,購買哪一項產品最符合低碳飲食的做法？,高級進口和牛,在地當季新鮮高麗菜,香甜誘人杯子蛋糕,好吃美味起司披薩,B
63,下列何者是環境自燃導致森林大火的原因？,高溫及太乾燥所產生的大火,為了土地開發所產生的大火,因為人類在森林留下火種導致大火,飛機墜落引發火災,A
64,為什麼每個人都應該參與減緩氣候變遷的行動？,因為氣候變遷只影響其他國家,個人行動無法改變氣候變遷,每個人的小行動累積起來可以帶來正面改變,氣候變遷只需要政府處理，和人民無關,C
65,大家一起種樹綠化環境，下列哪一項不是種樹的好處？,增加土壤的吸水力,調節濕度,產生落葉，造成髒亂,吸收空氣中的二氧化碳,C
66,最近新聞常常報導台灣天氣變得越來越奇怪，有時候好久不下雨，有時候又下大暴雨。根據113年的國家氣候變遷科學報告，台灣政府應該加強哪方面的準備來應對這些極端天氣呢？,建立防災應變和調適的政策,多舉辦一些大型煙火慶典,鼓勵大家多吹冷氣降溫消暑,禁止種植樹木以免落葉太多,A
67,每逢秋、冬季節，臺灣各個河口形成賞鳥最佳地點。若要欣賞大量「黑面琵鷺」過冬景象，以下何處最有機會？,高屏溪口,大甲溪口,曾文溪口,淡水河口,C
68,有關省水標章的描述，以下何者不正確？,標章中的箭頭向上，代表將中心的水滴接起，強調回收再利用,右邊的三條水帶代表著愛水、節水、親水，鼓勵民眾愛護水資源,省水標章只有藍色一種顏色，若看到金色的標章代表是偽造的標章,貼有省水標章的器材與一般傳統器材相比，表示可以節省一半以上的用水量,C
69,依《事業廢棄物再利用管理辦法》，核發之許可文件期限最長為幾年？,2年,3年,5年,10年,B
70,如廁後將衛生紙直接丟入馬桶沖掉，無法減少下列哪項環境衛生問題？,減少蚊蠅孳生,減少如廁舒適,減少細菌或傳染病傳播,減少廁所異味,B
71,DDT造成生物放大效應的原因為何？,因DDT在生物體內無法分解，在生物體內的濃度隨著食物鏈的階層逐漸增加,因高級消費者體內分解DDT的能力較生產者低,因為較大型的動物偏好捕食具DDT的生物,因DDT使受污染生物的總生物量增大,A
72,下列關於土石流的敘述，哪一個「錯誤」？,人類不當開發山坡地，會加劇土石流的發生,應在山坡地上多種植根較深的植物，以穩固疏鬆的土石,開發山坡地時，應做好排水系統，才能減緩土石流發生,開發山坡地時，應選擇陡坡，因為其排水系統良好，能夠避免土石流發生,D
73,當藻類因優養化大量繁殖，夜間常會造成魚類大量死亡的原因為何？,水溫過低,缺乏食物,溶氧不足,酸鹼度過高,C
74,面臨缺水危機，各水庫蓄水率偏低，政府啟動抗旱行動，從三個面向推動節水措施。以下何者不是節水的面向？,再生水,雨水貯留,海水淡化,抽地下水,D
75,關於環境危害的對應，下列何者正確？,游離輻射—物理性危害,振動—生物性危害,噪音—化學性危害,過敏—物理性危害,A
76,下列何者不是設置空氣品質淨化區的基本理念？,藉由植物的生理特性來減少塵埃與懸浮微粒,提供單一物種的生存環境,減緩廢棄物、噪音、水污染等人為環境污染,提供生態模擬及生態教育的場所,B
77,在臺灣本島的「海水淡化廠」主要供應的對象是？,民生用水,農業用水,工業用水,服務業用水,C
78,風力推動風機葉片轉動，過程中會先產生哪種能量，最後再透過發電機轉換成電能？,光能,機械能,熱能,聲能,B
79,下列哪一項非我國針對污染防治制定的專門法規？,公害糾紛處理法,廢棄物清理法,空氣污染防制法,水污染防治法,A
80,哪一種日常通勤方式碳排放最少？,走路或騎腳踏車,搭乘捷運或公車,使用電動機車,駕駛私人汽車,A
81,「潮汐發電」的發電原理為何？,利用海水的溫差,利用海水的波動,利用海流的流動,利用海水的水位差,D
82,高雄市在颱風期間發生嚴重淹水，分析發現許多排水系統堵塞。哪一項政策有助於減少此類問題？,建築物越蓋越高，以免淹水,"廢除公園與綠地,以減少落葉",強化城市排水與綠基礎建設,鼓勵通勤者使用機車通勤,C
83,微生物在人體內數量最多的地方是在哪裡？,口腔,皮膚,腸道,鼻腔,C
84,何年在比利時發生「戴奧辛雞事件」，因含戴奧辛的機油混入500公噸飼料，導致大量雞、豬、牛遭撲滅？,1995,1999,2012,2015,B
85,水庫淤積導致蓄水容量下降，應採取哪一項措施以恢復其蓄水功能？,利用人造雨提升蓄水量,提高抽水量以應對需求,定期進行泥沙清淤作業,興建新的水庫以取代原有水源,C
86,針對河川污染問題，以下哪一項做法最符合永續發展的整治策略？,倒入消毒水殺菌,以用水泥鋪設保護堤岸,拔除水中植物淨化水質,建設人工濕地進行自然淨化,D
87,「在維持基本生活所需，並追求更佳生活品質之同時，降低天然資源與毒性物質之使用及污染物排放，目的在不影響後代子孫權益的消費模式。」是何種消費模式？,在地消費,經濟消費,綠色消費,刺激消費,C
88,下列何者是土石流的特徵？,表面流速慢，下面流速快,表面流速快，下面流速慢,泥沙濃度低,衝擊力不大,B
89,國際「世界水資源日」係指每年的哪一天？,2月28日,3月22日,4月20日,6月5日,B
90,根據世界衛生組織（WHO）數據，2024年全球登革熱病例約有82%集中於哪個國家？,巴西,中國,印度,泰國,A
91,「位於凹岸的村落因河岸持續地退縮而被迫遷村。」文中所述的河岸地退縮現象，主要是哪一種河流作用所形成？,磨蝕,溶蝕,吹蝕,侵蝕,D
92,針對防災四階段來說，下列何者屬於「復原」(Recovery)的措施？,重建公共建設,災民的收容與撤離,防止二次災害發生,擬定疏散避難演練,A
93,根據影片內容，氣候變遷正在影響台灣的自然環境。以下哪一項正確描述了台灣目前面臨的氣候災害？,降雨變得更規律，季節分明,極端天氣變多，例如暴雨、乾旱,雨天會完全消失，一年四季都是晴天,夏天變得很短，冬天越來越寒冷,B
94,下列何者不屬於二日綠色旅遊行程的必要條件？,環保餐廳/綠食飯桌用餐,環境教育設施場所或生態遊憩場所,搭乘大眾運輸,環保標章旅館住宿,C
95,臺灣原住民族在語言和文化上應屬於何種語系？,南島語系,美洲語系,印歐語系,南亞語系,A
96,依據吃好魚宣言所提出的「海鮮選購三優先」下列何者非優先考量？,國產魚優先,有標章優先,中低階優先,仔稚魚優先,D
97,為了達到源頭減量，環境部於112年7月訂定了哪一項限制，並在114年1月1日起正式生效？,旅宿業不得主動提供一次性個人用品。,菜市場不得主動提供塑膠袋給民眾。,網購包裝材料不可使用含聚氯乙烯塑膠材質。,全國飲料店全面禁用一次性塑膠杯。,A
98,下列何者不是微生物的應用？,用微生物讓泡菜變酸，可保存更久。,應用微生物來發酵麥汁，製作啤酒。,某種微生物可幫助豆科植物吸收空氣裡的氮。,微生物可直接清除空氣中的懸浮微粒。,D
99,關於「省水標章」的說明，下列何者錯誤？,目前省水標章為「自願性標章」，政府鼓勵洗衣機和馬桶等用水器具積極申請。,省水標章分為「普級」和「金級」兩種等級。,標章上的三條水帶代表「愛水、節水、親水」。,用水器具需經過認證檢驗通過，才可獲得省水標章。,A
100,釩液流電池適合作為什麼用途？,安裝在手機中，讓手機可以用好幾天不用充電。,放在手電筒裡，可以照明更久。,用來儲存太陽能或風力發的電，幫助穩定供電。,電動車的充電電池，因為它安全又能儲電。,C
101,下列何者是生態敏感地區的重要性？,可以種植農作物,可以建造房屋,提供野生動物棲息地,可以提供大量能源,C
102,下列哪個選項「不屬於」石化工業的產品？,塑膠,人造纖維,玻璃,黏著劑,C
103,下列何者為地下水高污染潛勢區？,百貨公司,加油站,電影院,遊樂園,B
104,為鼓勵電子產品繳費責任業者朝物料循環再利用方向設計，環保署自112年7月1日起針對電視機、冷暖氣機、洗衣機、電冰箱、電風扇等物品，優先於產品中添加多少%以上塑膠再生料？,10%,25%,30%,45%,B
105,對於環境荷爾蒙，民眾在自我提升防範方面，專家建議從食物的選擇上進行。請問下列何種防範行為是錯誤的？,多吃原型食物,少吃加工食品,選擇同一攤位的食物,同時挑選不同種類的食材,C
106,下列哪一項「不是」我國訂定「國家氣候變遷調適政策綱領」的原因？,健全與提升國家調適能力,控制國家溫室氣體的排放,降低社會脆弱度,建立我國整合性的運作機制,B
107,有關風化作用的敘述，下列哪個選項是「錯誤」的？,海蝕平臺是風化作用所形成,風化作用是大岩石逐漸崩解成小碎塊的過程,在氣候溫暖潮濕的環境當中，岩石容易與水產生化學反應而逐漸鬆軟,風化作用的最終產物為土壤,A
108,目前臺灣用水量比重佔最多的是下列哪一個？,工業用水,農業用水,民生用水,電廠用水,B
109,因臺灣位於歐亞大陸板塊與菲律賓板塊交界處，地震頻繁，對於地震的應變措施下列何者有誤？,地震發生時應躲在黃金三角處,地震發生時應躲在冰箱旁，確保食物充足,若發生強烈地震應趕緊開門，防止門變形逃不出去,以上皆是,D
110,一般來說，侵襲臺灣的颱風路徑主要受何者影響？,北太平洋洋流,黑潮,北太平洋高壓環流,蒙古高壓環流,C
111,PM2.5除了來自於污染源直接排放外，亦可能經由下列哪一項化學反應產生？,光化反應,酸鹼反應,沉澱反應,光合作用,A
112,壬基酚主要做為工業清潔劑中「非離子型界面活性劑」，另外也用於抗氧化劑、紡織印染助劑、農藥乳化劑等領域，但平常我們接觸的壬基酚，卻更多是從哪裡來的？,食物中,空氣中,土壤中,廢棄物中,A
113,下列哪個水庫主要供應屏東地區的用水？,曾文水庫,牡丹水庫,赤崁水庫,石門水庫,B
114,下列對馬卡道澤蟹的敘述何者錯誤？,常躲在落葉堆或邊坡的土洞裡,在全台都可以看到,在2009年才被判定為新物種,長期生活在獨立的範圍內，很少與其他族群交流,B
115,在酸雨相當嚴重的城市蓋房子，下列何者是不適合的建材？,花崗岩,玄武岩,大理岩,安山岩,C
116,下列何項非聯合國永續發展目標SDGs之一？,氣候行動,減少不平等,優質教育,綠色生活,D
117,下列何者對於濕沉降的敘述是「錯誤」？,氣狀污染物隨雨、雪等降下,氣狀污染物經由風力帶至海洋,大氣中污染物質去除的重要機制,自然降雨是濕沉降最重要的機制,B
118,為處理垃圾爆量問題環境部擬於2023年提出《資源循環促進法》來因應，下列對此法案的敘述何者錯誤？,此法案係將《廢棄物清理法》及《資源回收再利用法》整併,此法案目地在翻轉廢棄物定義，推動資源極大化，廢棄物極小化,此法擬對不具再利用價值的廢棄物，公告為政府責任物，由政府吸收處理費用,此法也會對汙染環境的業者加重其刑責,D
119,電磁波防治相關法規，是哪一中央機關所制訂及執行？,衛生福利部,行政院環境部,公共工程委員會,勞動部,B
120,下列臺灣特有種生物中，何者從平地至海拔3千公尺皆有其蹤跡？,臺灣雲豹,臺灣帝雉,臺灣寬尾鳳蝶,臺灣山豬,D
121,下列哪個選項「不是」臺灣現行的環保法規？,野生動物保護法,水污染防治法,噪音管制法,京都議定書,D
122,關於「北極放大效應」的敘述，何者錯誤？,該效應是指北半球排放之溫室氣體向北竄升，累積在北極的現象,南極也會有「南極放大效應」，但其效果不顯著,該效應使北極附近的溫度變化比地球其他地區的變化都來得大,金星也有該效應，使得金星的兩極與赤道幾乎是等溫,A
123,下列何種法規是目前臺灣沒有特別公告的？,噪音管制法,水污染防治法,振動管制法,環境影響評估法,C
124,基因改造食品可以大量增加作物產量，且無明顯不好的影響，但卻還是很多人反對食用基因改造食品，其原因為何？,成本太高,可能含有一些致敏原，會導致死亡,與非基因改造食品外觀差異大,基因改造食品口感差,B
125,下列哪個選項「不是」海洋的功能？,提供人類食物,再生能源,防洪治水,調節氣溫,C
126,在醫院工作因為中央空調系統沒有定期消毒保養而引起醫護人員得到退伍軍人症，是屬於哪種類型的危害？,物理性危害,化學性危害,生物性危害,心理性危害,C
127,1987年聯合國提出《我們的未來》報告書，其中指出「永續發展」的理念是？,完全禁用氟氯碳化物,滿足當代需求，且不損及後代滿足其需要之發展,2008~2012年達到二氧化碳減量5~8%,各國減少硫化物排出量及削減氮氧化物30%,B
128,因應宜蘭多雨的氣候，下列何者是「宜蘭厝」的建築特色？,平臺式屋頂,拱形屋頂,斜屋頂,圓形屋頂,C
129,下列哪個選項是酸雨對環境或生物造成的影響？,減緩植物生長,造成水體優養化,使南極上空臭氧洞擴大,造成溫、寒帶的生物棲息地往更高緯度處遷移,A
130,DDT造成生物放大的原因為何？,因食物塔階層愈高，總生物量愈大，DDT累積量也愈高,因高級消費者體內分解DDT的能力較生產者低,因DDT在生物體內無法分解，無法排出,因DDT使受污染生物的總生物量增大,C
131,下列何者「不是」土壤自淨作用？,污染物進入土壤後經化學降解變為無毒害物質,利用土壤中的微生物，將污染經由分解或礦化作用使污染物轉換,土壤經過大雨沖刷能將污染物洗掉,土壤中的污染物通過複雜多樣的物理過程，使其濃度降低、毒性減輕,C
132,中央氣象局對颱風強弱的分類標準，是依據下列哪一項決定的？,颱風中心附近平均的最大風速,颱風地區雲層厚度,颱風中心颱風眼的大小,颱風的暴風直徑,A
133,下列哪種兩棲爬蟲類是臺灣的外來種？,莫氏樹蛙,菊池氏龜殼花,楚南氏山椒魚,巴西烏龜,D
134,下列何者「不屬於」公告回收的電子電器物品？,電冰箱,微波爐,洗衣機,電視機,B
135,臺灣時有山崩發生，下列何者「不是」臺灣山崩的主因？,臺灣地處地殼不穩定處,臺灣山地面積廣，地勢陡峭,地處高溫多雨之地，化學風化物質多,春季雪水多，增加潤滑力,D
136,請問下列何者為澎湖南方四島國家公園的主要特色？,玄武岩地質,亞熱帶海島型,潟湖,沙洲,A
137,公害造成損害時，「程度鑑定」主要為了確認下列何者？,何種污染物造成損害,造成損害之污染來源,評估危害程度,以上皆是,C
138,我國2050淨零排放路徑有12項關鍵戰略，其中「淨零綠生活」策略有六大面向，請問下列何者選項不是？,零浪費低碳飲食,友善環境綠時尚,綠色設計源頭減量,使用取代擁有,C
139,大氣層是保護地球的一大功臣，有關大氣層的重要性，下列何者是「錯誤」的？,可阻擋所有宇宙射線和紫外線的入侵,可幫助地表維持適當的溫度,大氣環流具有調節氣候的功能,可阻擋隕石直接撞地球,A
140,我們引進臺灣原本沒有的動物以增加生物的種類，會帶來下列何種影響？,增加生物的多樣性,促進生態平衡,提高生物繁殖能力,會使當地原來生物受到攻擊,D
141,「根壓」的形成原因為下列哪個選項？,根部在土壤中因泥土的擠壓所造成的壓力,根部接受由葉部運輸來的蔗糖，使根部細胞壓力變大,根部細胞的細胞質濃度比土壤高，導致水的滲透壓差而產生根壓,根部在土壤中與其他植物的根競爭養分所造成的壓力,C
142,下列各地出現的主要岩石配對何者錯誤？,鼻頭角:砂岩,火炎山:礫岩,清水斷崖:大理岩,金門:玄武岩,D
143,環境部公告「一次用旅宿用品限制使用對象及實施方式」規範，旅宿業者不得主動陳列下列何者選項供民眾使用？,水,室內拖鞋,衛生紙,浴帽,D
144,水牛在臺灣的開拓史上，扮演著甚麼角色？,風水,畜養,開墾,宗教,C
145,下列哪個選項「不屬於」細菌外型的分類之一？,球狀,桿狀,螺旋狀,橄欖球狀,D
146,下列哪一種微生物長久以來一直被當作水污染的指標生物？,霍亂弧菌,沙門氏桿菌,大腸桿菌,志賀氏桿菌,C
147,「前雷後雨，落不濕土」、「一粒雨擲死一個人」，以上臺灣諺語所形容的降水類型，主要成因是下列哪個選項？,地形抬升,鋒面滯留,熱力對流,強烈低氣壓,C
148,減塑旅遊要達成下列哪些行動？,自備、重複、少用,輕便行李,多使用旅館備品,多使用一次性衛生用品,A
149,水蒸氣遇冷會產生霜或露，下列哪個選項是正確的敘述？,霜是透明的液態,露是白色的固體,霜常見於寒冬的地面上,露常見於秋天清晨的地面,D
150,有國慶鳥之稱的灰面鵟鷹，在國慶前後會成群過境哪一個國家公園？,澎湖南方四島國家公園,墾丁國家公園,台江國家公園,雪霸國家公園,B
151,用自來水養魚，為什麼容易造成魚兒死亡？,自來水中沒有氧氣,自來水中沒有養分,自來水中含有餘氯,自來水中含有臭氧,C
152,下列何者「不是」水力發電的優點？,不會造成空氣污染,不會有生態衍生問題,運維成本低,可以重複使用,B
153,惜食教育是全民綠生活推動的主軸之一，請問下列選項何者於惜食十大行動中出現？,要均衡,不打包,不可選,吃格外,D
154,屬於一級古蹟的八通關古道景觀主要特色為何？,具有數間百年以上歷史之建物,具特殊文化及藝術價值之廟宇建築,電影「賽德克·巴萊」主要場景,保留許多開墾史蹟的石碑,D
155,以下何者有「臺灣的亞馬遜河」之稱？,香山濕地,哈盆自然保留區,無尾港濕地,蘭陽溪口濕地,B
156,大陸華北地區因工業發達燃燒煤炭，產生二氧化硫，常隨著哪種季風飄來臺灣北部，產生酸雨的問題？,東北季風,東南季風,西北季風,西南季風,A
157,依據紫外線的特性，到達地表輻射量最高者為下列何者？,UV-A,UV-B,UV-C,UV-D,A
158,下列哪一種植物屬於臺灣原生種？,銀合歡,小花蔓澤蘭,大花咸豐草,玉山杜鵑,D
159,水中汞污染物危害性主要是因為它具有下列何種特性？,累積毒性,急毒性,干擾生物之生殖系統,影響人體之呼吸系統,A
160,下列何者不是導致珊瑚礁白化的原因?,高溫廢水,海水鹽度改變,海水中的化學反應變化,黑潮經過,D
161,水蒸氣遇冷會產生霜或露，下列哪個選項是正確的敘述？,霜是透明的液態,露是白色的固體,霜常見於寒冬的地面上,露常見於秋天清晨的地面,D
162,下列何者「不是」臺灣水圳的用途？,保存歷史遺產價值,展現常民文化,推廣水上摩托車運動,發展休閒遊憩,C
163,天氣現象千變萬化，天氣預報更是一件勞心勞力的工作。有關天氣預報的敘述，下列何者是正確的？,天氣預報僅需參考地面、高空和衛星等觀測資料,紫外線強度並不包含在預報項目內,將觀測資料輸入電腦，即可得到準確的預報資料,影響天氣變化的因素很複雜增加預報工作的困難度,D
