題號,類別/階段,題目,選項A,選項B,選項C,選項D,正確答案,完整解析
11,校內選拔賽,如廁後將衛生紙直接丟入馬桶沖掉，無法減少下列哪項環境衛生問題？,減少蚊蠅孳生,減少如廁舒適,減少細菌或傳染病傳播,減少廁所異味,(B) 減少如廁舒適,"【正解說明】將衛生紙直接丟入馬桶沖掉能保持廁所乾淨無異味，實質上是「增加」而非「減少」如廁舒適度；題目問何者「無法減少」，因此「減少如廁舒適」（並非環境衛生問題且邏輯反向）為正解。
【其他選項解析】
(A)、(C)、(D) 都是將沾有糞尿的衛生紙堆置於垃圾桶所引發的典型衛生問題（孳生蚊蠅、病菌散播、散發臭味），直接丟馬桶沖走能有效減少此三項問題。"
12,校內選拔賽,何謂碳匯？,針對排放二氧化碳的企業徵收的貨幣,將二氧化碳持續移除後儲存於自然或人為系統中,二氧化碳的供給管道,所有排放源產生的二氧化碳,(B) 將二氧化碳持續移除後儲存於自然或人為系統中,"【正解說明】「碳匯（Carbon Sink）」是指能夠持續吸收、清除大氣中的二氧化碳，並將其固定儲存於自然生態庫（如森林綠碳、海洋藍碳、土壤黃碳）或人為工程系統（如碳捕集與封存CCUS）中的機制或場所。
【其他選項解析】
(A) 針對排放企業徵收的費用稱為「碳費」或「碳稅」。
(C)、(D) 產生與釋放二氧化碳的來源稱為「碳源（Carbon Source）」，與碳匯相反。"
13,校內選拔賽,我們如何稱呼農糧產品及各種消費品在生產過程中所消耗的水資源？,水耗量,水商品,水足跡,水能量,(C) 水足跡,"【正解說明】「水足跡（Water Footprint）」是指任何商品或服務在其完整生命週期（從原料開採、種植、加工、製造到廢棄）中，直接與間接消耗與污染的淡水資源總量（包括綠水、藍水與灰水足跡）。
【其他選項解析】
(A) 水耗量：僅指一般用水量數據，非全生命週期評估專有名詞。
(B) 水商品、(D) 水能量：皆非環境科學中評估產品耗水量的專業術語。"
14,校內選拔賽,臺灣造林應優先考量的區域不包括下列哪些地區？,山坡地,復耕性低或污染整治完成之農地,都會公園,嚴重地層下陷地區,(C) 都會公園,"【正解說明】國土造林政策優先考量生態脆弱、水土保持需求高或低利用價值的邊際土地（如易崩塌山坡地、海岸防風林、嚴重地層下陷區、不易復耕之邊際農地）。「都會公園」屬於都市休閒綠美化公共設施，非國家大規模生態造林專案之優先指定區域。
【其他選項解析】
(A) 山坡地：造林可固土涵水、防止崩塌土石流。
(B) 復耕性低農地：轉型造林有助於國土生態復育並增加碳匯。
(D) 嚴重地層下陷區：不宜密集農業抽取地下水，適合造林涵養生態。"
15,校內選拔賽,以下哪個選項最能準確地定義「淨零排放」？,減少人類活動，避免溫室氣體排放,排放的溫室氣體總量，與吸收或封存的量加總為零,使用先進技術，將大氣中的溫室氣體完全排除,全球所有國家設定相同的碳排放目標,(B) 排放的溫室氣體總量，與吸收或封存的量加總為零,"【正解說明】「淨零排放（Net Zero Emissions）」指在特定時間範圍內，人為活動所產生的所有溫室氣體排放量，透過人為移除方式（如植樹造林碳匯、負碳技術、碳捕集利用與封存CCUS等）相互抵消，達到「人為淨排放總量為零（平衡）」的狀態。
【其他選項解析】
(A) 人類無法完全停止活動與絕對零排放，淨零的核心是抵消平衡。
(C) 大氣中適度溫室氣體維持地球宜居溫度，完全排除是不可能且有害的。
(D) 各國依發展水準負擔「共同但有區別的責任」，排放目標各不相同。"
16,校內選拔賽,關於環境危害的對應，下列何者正確？,游離輻射—物理性危害,振動—生物性危害,噪音—化學性危害,過敏—物理性危害,(A) 游離輻射—物理性危害,"【正解說明】環境危害因子分類中，「物理性危害」指由能量形式（如游離輻射、非游離輻射、噪音、振動、極端高低溫、異常氣壓等）所造成的健康危害，因此「游離輻射—物理性危害」完全正確。
【其他選項解析】
(B) 振動：屬於「物理性危害」。
(C) 噪音：屬於「物理性危害」。
(D) 過敏：多由花粉、塵蟎等生物過敏原或化學物質引起，非物理性危害。"
17,校內選拔賽,自107年1月1日起，購物用塑膠袋之管制對象，已由原本7大類擴大為幾類？,10大類,12大類,14大類,16大類,(C) 14大類,"【正解說明】我國環境部（前環保署）修正購物用塑膠袋限制使用政策，自民國107年（2018年）1月1日起，管制對象由原先的7大類擴大至「14大類」（新增藥粧店、醫療器材行、家電攝影通訊行、書籍文具行、洗衣店、飲料店、西點麵包店等），規定不得免費提供購物用塑膠袋。
【其他選項解析】
(A) 10大類、(B) 12大類、(D) 16大類 皆非我國法規所規範之管制對象類別數。"
18,校內選拔賽,臺灣由哪一個政府部門訂定「農藥殘留容許量標準」，抽查已上市農產品的食品安全，以防止POPs殘留危害人體健康？,衛生福利部,農業部,環境部,經濟部,(A) 衛生福利部,"【正解說明】依據我國《食品安全衛生管理法》，市售已上市農產品與加工食品之衛生安全標準，由主管食品安全的中央主管機關「衛生福利部（食品藥物管理署）」負責訂定「農藥殘留容許量標準（MRL）」並執行後市場安全抽驗。
【其他選項解析】
(B) 農業部：主管農藥之登記許可、田間生產管理與上市前監測。
(C) 環境部：主管環境介質（水、空氣、土壤）污染防制與POPs環境流布。
(D) 經濟部：主管產業、經貿與商業登記。"
19,校內選拔賽,下列何者「不是」飲用水水質標準中物理性之標準項目？,臭度,濁度,硬度,色度,(C) 硬度,"【正解說明】依據我國《飲用水水質標準》，「物理性標準項目」僅包含：臭度（TON）、濁度（NTU）、色度（Pt-Co單位）。「硬度（總硬度）」是水中鈣、鎂等金屬離子濃度的化學指標，屬於「化學性／影響適飲性物質」項目，故(C)不是物理性項目。
【其他選項解析】
(A) 臭度、(B) 濁度、(D) 色度：皆屬於感官或光學物理量測之物理性標準項目。"
20,校內選拔賽,下列關於土石流的敘述，哪一個「錯誤」？,人類不當開發山坡地，會加劇土石流的發生,應在山坡地上多種植根較深的植物，以穩固疏鬆的土石,開發山坡地時，應做好排水系統，才能減緩土石流發生,開發山坡地時，應選擇陡坡，因為其排水系統良好，能夠避免土石流發生,(D) 開發山坡地時，應選擇陡坡，因為其排水系統良好，能夠避免土石流發生,"【正解說明】坡度越陡峭，重力沿坡面的下滑分力越大，在豪大雨浸潤土體時抗滑力大幅下降，極易發生大規模崩塌與土石流；開發陡坡會嚴重破壞地質穩定，因此「選擇陡坡以避免土石流」是完全錯誤的觀念。
【其他選項解析】
(A) 濫伐坡地、開挖坡腳會增加土石流風險，敘述正確。
(B) 種植深根植物能提供深層固土與錨定效果，敘述正確。
(C) 妥善規劃排水系統能迅速引排地表水，降低土體孔隙水壓，敘述正確。"
21,校內選拔賽,下列何者是環境自燃導致森林大火的原因？,高溫及太乾燥所產生的大火,為了土地開發所產生的大火,因為人類在森林留下火種導致大火,飛機墜落引發火災,(A) 高溫及太乾燥所產生的大火,"【正解說明】「環境自燃」是指在無人為引火的情況下，因長時間持續極端高溫、嚴重乾旱及強風，使森林枯枝落葉含水量降至極低，在聚熱或雷擊等自然環境條件下自發燃燒引發大火。
【其他選項解析】
(B) 土地開發整地放火、(C) 遺留煙蒂或營火、(D) 飛機失事：皆屬於「人為直接或人為意外」引起的火災，非自然環境自燃。"
22,校內選拔賽,面臨缺水危機，各水庫蓄水率偏低，政府啟動抗旱行動，從三個面向推動節水措施。以下何者不是節水的面向？,再生水,雨水貯留,海水淡化,抽地下水,(D) 抽地下水,"【正解說明】政府抗旱與多元水資源政策之三大永續面向為：推動「再生水利用」、建置「雨水貯留系統」及開發「海水淡化」。「抽地下水」屬於耗竭型傳統水源取用，過量抽取會引發地層下陷與水質鹽化，並非永續的節水或新興水源面向。
【其他選項解析】
(A) 再生水：將廢水處理純化回收利用，具高度節水效益。
(B) 雨水貯留：收集天然雨水替代非飲用水，減少自來水耗用。
(C) 海水淡化：向大海借水，增加造水備援能力。"
23,校內選拔賽,「在維持基本生活所需，並追求更佳生活品質之同時，降低天然資源與毒性物質之使用及污染物排放，目的在不影響後代子孫權益的消費模式。」是何種消費模式？,在地消費,經濟消費,綠色消費,刺激消費,(C) 綠色消費,"【正解說明】此定義出自聯合國環境規劃署（UNEP）對「綠色消費（Green Consumption / Sustainable Consumption）」之官方定義，核心精神在於兼顧生活品質與生態承載力，減少資源消耗與環境毒性，實現世代正義。
【其他選項解析】
(A) 在地消費：指優先採購本地產品縮短運輸里程，為綠色消費之實踐方式之一，但非該完整定義名詞。
(B) 經濟消費、(D) 刺激消費：屬於經濟商業行銷名詞，未涵蓋環境永續內涵。"
24,校內選拔賽,依據《文化資產保存法》，「自然地景與自然紀念物」也屬於文化資產的一部分。請問負責管理這類文化資產的哪一個中央主管機關？,文化部,衛生福利部,農業部,環境部,(C) 農業部,"【正解說明】依據《文化資產保存法》第4條規定，文化資產主管機關中央為文化部；但其中「自然地景（特殊地形地質）」及「自然紀念物（珍貴稀有動植物、礦物）」之中央主管機關明定為「農業部（林業及自然保育署）」負責管轄。
【其他選項解析】
(A) 文化部：主管有形文化資產（古蹟、歷史建築、考古遺址等）與無形文化資產。
(B) 衛生福利部、(D) 環境部：非《文資法》法定主管機關。"
25,校內選拔賽,啤酒中最重要的發酵微生物是什麼？,鏈球菌,酵母菌,擬桿菌,綠瘤菌,(B) 酵母菌,"【正解說明】啤酒釀造的核心微生物是「酵母菌（Saccharomyces cerevisiae 等啤酒酵母）」，其在無氧條件下進行酒精發酵，將麥汁中的發酵糖轉化為乙醇（酒精）與二氧化碳氣泡，並賦予啤酒獨特風味。
【其他選項解析】
(A) 鏈球菌：多為乳酸發酵或致病菌。
(C) 擬桿菌：常見於人類腸道共生菌群。
(D) 綠瘤菌：為厭氧光合細菌，與啤酒釀造無關。"
26,校內選拔賽,下列何者不是環保標章產品的特性？,可回收,較貴,省資源,低污染,(B) 較貴,"【正解說明】我國「環保標章」的核心理念與三大基本特性為「低污染、省資源、可回收（一片綠葉包裹地球的象徵）」。產品價格並非其定義特性，環保產品亦不必然較貴，故(B)不是環保標章產品之特性。
【其他選項解析】
(A) 可回收 (Recyclable)、(C) 省資源 (Resource-saving)、(D) 低污染 (Low-polluting) 皆為環保標章三大核心法定精神。"
27,校內選拔賽,下列何者屬於點源污染？,施灌肥料,工廠廢水,噴灑農藥,酸雨,(B) 工廠廢水,"【正解說明】「點源污染（Point Source Pollution）」是指污染物質由明確、固定、可辨識的單一排放管道或出水口（如工廠廢水排放口、污水處理廠放流口、煙囪）直接排入環境中，因此「工廠廢水」屬於點源污染。
【其他選項解析】
(A) 施灌肥料、(C) 噴灑農藥、(D) 酸雨：皆屬於大面積散佈、無固定單一排放口的「非點源污染（面源污染）」"
28,校內選拔賽,下列哪一項非我國針對污染防治制定的專門法規？,公害糾紛處理法,廢棄物清理法,空氣污染防制法,水污染防治法,(A) 公害糾紛處理法,"【正解說明】《公害糾紛處理法》是規範公害事件發生後民眾陳情、協調、調處、裁決與損害賠償之「救濟程序法」，並非直接針對特定污染介質訂定管制標準與防治措施的「污染防治專門法規」。
【其他選項解析】
(B) 廢棄物清理法、(C) 空氣污染防制法、(D) 水污染防治法：皆為針對廢棄物、空污、水污等環境介質訂立具體排放標準與管制義務的實體法規。"
29,校內選拔賽,這個國定考古遺址位在宜蘭與花蓮交界處，東側緊鄰太平洋。經歷了新石器時代到金屬器時代的變遷，於蘇花改工程中被發現，出土銅幣、玻璃、瓷器、瑪瑙等，顯示當時海上貿易相當活絡。請問以上敘述的是哪一個考古遺址？,丸山考古遺址,大坌坑考古遺址,Blihun漢本考古遺址,曲冰考古遺址,(C) Blihun漢本考古遺址,"【正解說明】「Blihun漢本考古遺址」位於宜蘭縣南澳鄉與花蓮交界的和平溪北岸，緊鄰太平洋，是在蘇花改公路工程施工時搶救發掘的重要遺址，出土豐富的金屬器、唐宋銅錢、玻璃珠與瑪瑙，證實台灣史前人群熱絡的海上對外交易，現已公告為國定考古遺址。
【其他選項解析】
(A) 丸山考古遺址：位於宜蘭冬山鄉之新石器時代晚期遺址。
(B) 大坌坑考古遺址：位於新北八里，為台灣新石器時代早期代表。
(D) 曲冰考古遺址：位於南投仁愛鄉濁水溪上游的高山史前聚落遺址。"
30,校內選拔賽,當藻類因優養化大量繁殖，夜間常會造成魚類大量死亡的原因為何？,水溫過低,缺乏食物,溶氧不足,酸鹼度過高,(C) 溶氧不足,"【正解說明】水體優養化造成藻類大量暴生（水華現象），在夜間無光照時藻類無法進行光合作用產氧，反而因劇烈呼吸作用大量消耗水中氧氣，加上死亡藻類遭好氧菌分解亦極度耗氧，導致水體夜間嚴重「溶氧不足（缺氧）」，使魚類窒息暴斃。
【其他選項解析】
(A) 水溫過低：優養化與夜間水溫無直接致死關聯。
(B) 缺乏食物：藻類繁殖時浮游有機碎屑豐富，死因非飢餓。
(D) 酸鹼度過高：日間光合作用消耗CO2使pH微升，但夜間魚類集體死亡之直接關鍵殺手為缺氧。"
31,校內選拔賽,下列何者為PM2.5所使用的粒徑單位？,公分(cm),毫米(mm),微米(µm),奈米(nm),(C) 微米(µm),"【正解說明】PM2.5 指空氣動力學當量直徑小於或等於 2.5 微米（µm，1 µm = $10^{-6}$ 公尺）的細懸浮微粒（Fine Particulate Matter），其粒徑專用物理計量單位即為「微米（µm）」
【其他選項解析】
(A) 公分 ($10^{-2}$ m)、(B) 毫米 ($10^{-3}$ m)：尺度過大，屬於肉眼可見尺寸。
(D) 奈米 ($10^{-9}$ m)：為超微粒或奈米材料尺度（直徑小於0.1微米者稱為超細懸浮微粒PM0.1）。"
32,校內選拔賽,與自然萬物和諧共處，以「燒墾游耕」方式放火燒草而不施肥，請問這是哪一族群的傳統農耕技法？,泰雅族,平埔族,西拉雅族,邵族,(C) 西拉雅族,"【正解說明】清代臺灣文獻（如《番社采風圖》及府志記載）詳盡記錄了平埔族群中「西拉雅族（Siraya）」早期的農耕習俗：每年開春前以放火燒草之「燒墾」方式清除雜草，以草木灰為天然肥料而不外加施肥，耕種數年後換地休耕（游耕），順應自然循環。
【其他選項解析】
(A) 泰雅族：高山原住民族，主要於陡峭山地種植小米。
(B) 平埔族：為多個平埔族群之廣泛統稱，題幹精確對應西拉雅族之歷史記載。
(D) 邵族：主要分布於日月潭周邊，以漁撈與水稻水耕為主。"
33,校內選拔賽,下列對於「藍碳」及「碳中和」之敘述何者正確？,藍碳無法儲存碳，不具減碳效益,藍碳可作為碳排放抵換方式之一,藍碳生態系只能產生氧氣，無其他用途,碳中和僅與陸地森林有關，無涉海洋,(B) 藍碳可作為碳排放抵換方式之一,"【正解說明】「藍碳（Blue Carbon）」指由海洋與沿海濕地生態系（紅樹林、鹽沼、海草床）所捕獲並長久封存於沉積物中的碳。經由認證方法學產生的藍碳碳匯，可轉化為碳權作為企業或國家達成碳中和的碳排放抵換方式之一。
【其他選項解析】
(A) 藍碳固碳效率可達陸地森林數倍至數十倍，具高度減碳價值。
(C) 藍碳生態系兼具護岸、防風定砂與維持海洋生物多樣性等多元服務功能。
(D) 碳中和涵蓋陸地與海洋所有可行的減排與增匯途徑。"
34,校內選拔賽,關於社區參與對生態永續發展的影響，下列哪一項敘述最不恰當？,社區參與可以推動有效的生態旅遊，減少對環境的破壞。,社區居民一起參與環境保護，有助於提升社區凝聚力。,社區的聲音可能影響政策的制定與執行。,生態保育應由政府主導，社區配合為宜。,(D) 生態保育應由政府主導，社區配合為宜。,"【正解說明】現代生態保育與永續發展強調「社區參與式治理（Community-based Conservation）」與「社區林業」，倡導在地居民成為主動的守護夥伴由下而上參與決策，而非被動接受政府主導配合；因此(D)的傳統威權主從觀點最不恰當。
【其他選項解析】
(A) 社區參與推動低衝擊生態旅遊能兼顧生計與保育，敘述正確。
(B) 全民參與環保行動有助於提升在地認同感與凝聚力，敘述正確。
(C) 公民知情參與能有效影響並優化公共政策制定，敘述正確。"
35,校內選拔賽,DDT造成生物放大效應的原因為何？,因DDT在生物體內無法分解，在生物體內的濃度隨著食物鏈的階層逐漸增加,因高級消費者體內分解DDT的能力較生產者低,因為較大型的動物偏好捕食具DDT的生物,因DDT使受污染生物的總生物量增大,(A) 因DDT在生物體內無法分解，在生物體內的濃度隨著食物鏈的階層逐漸增加,"【正解說明】DDT 為高度親脂且化學結構極穩定的有機氯農藥，進入生物體後難以被代謝降解。經由食物鏈傳遞時，高階掠食者因大量攝食低階生物，使 DDT 濃度沿著食物鏈階層逐級成倍累積放大，此現象稱為「生物放大作用（Biomagnification）」
【其他選項解析】
(B) DDT 在各級生物體內皆極難分解，非高級消費者分解能力差。
(C) 掠食者捕食是自然隨機行為，不會主動偏好受污染生物。
(D) DDT 具慢性毒性，不會增加生物總量。"
36,校內選拔賽,下列何者是因超抽地下水所導致的狀況？,近海土地鹽化,河川枯竭,土地生產力提高,珊瑚死亡,(A) 近海土地鹽化,"【正解說明】沿海地區過度抽取地下水會導致地下水位急降，使海水倒灌滲入地下含水層，造成地下水及鄰近土壤中鹽分過高，引發嚴重的「近海土地鹽化」及地層下陷等不可逆災害。
【其他選項解析】
(B) 河川枯竭：主要肇因於降雨稀少、氣候乾旱或上游截水。
(C) 土地生產力提高：土壤鹽化與地層下陷會導致農田荒廢，生產力嚴重惡化。
(D) 珊瑚死亡：主要源於海水暖化白化、沉積物覆蓋及陸源污染。"
37,校內選拔賽,宜蘭頭城海邊常常可以看到很多海洋垃圾，縣政府和學校合作，帶領學生們一起去海邊做什麼活動，讓大家更認識環保呢？,舉辦大胃王比賽推廣漁特產品,舉辦淨灘活動，撿拾海廢垃圾,舉辦海上摩托車比賽促進觀光,晚上放煙火慶祝欣賞海邊星空,(B) 舉辦淨灘活動，撿拾海廢垃圾,"【正解說明】學校與政府帶領學生參與「淨灘活動（Beach Cleanup）」，透過實地撿拾、分類與記錄海洋廢棄物（如使用ICC國際淨灘表格），能讓學生深刻體認海廢危機並建立源頭減塑的生活態度。
【其他選項解析】
(A) 大胃王比賽、(C) 海上摩托車（製造噪音與油污）、(D) 放煙火（產生空污與砲屑垃圾）：皆非環保教育活動。"
38,校內選拔賽,環境部推行的「環保集點制度」中，下列哪一個通路不是合作兌換通路？,7-ELEVEN,全家便利商店,家樂福,燦坤3C,(C) 家樂福,"【正解說明】環境部「環保集點」合作實體通路涵蓋四大便利商店（7-ELEVEN、全家、萊爾富、OK）、量販超市（如大潤發、愛買、全聯）及3C家電賣場（燦坤、全國電子）等；在此題庫設定中，「家樂福」非首波公告之實體綠點兌換通路。
【其他選項解析】
(A) 7-ELEVEN、(B) 全家便利商店、(D) 燦坤3C 均為長期合作之重點通路。"
39,校內選拔賽,下列何者非我國「減碳行動計畫」六大部門之一？,住商部門,農業部門,資訊部門,製造部門,(C) 資訊部門,"【正解說明】我國依《氣候變遷因應法》推動之國家溫室氣體減量方案，法定管制的六大減碳行動部門為：**能源、製造、運輸、住商、農業、環境**部門，並無獨立的「資訊部門」，故(C)非六大部門之一。
【其他選項解析】
(A) 住商部門、(B) 農業部門、(D) 製造部門 皆為法定的六大減碳行動部門。"
40,校內選拔賽,哪一個「永續發展目標（SDGs）」與減少污染最有關？,責任消費與生產,經濟發展,消除貧窮,性別平等,(A) 責任消費與生產,"【正解說明】聯合國永續發展目標「SDG 12：責任消費與生產（Responsible Consumption and Production）」之核心指標在於推動資源循環利用、化學品生命週期管理、大幅減少廢棄物產生以及降低對大氣、水與土壤的污染物排放。
【其他選項解析】
(B) 經濟發展（對應SDG 8 良好工作與經濟成長）。
(C) 消除貧窮（對應SDG 1）。
(D) 性別平等（對應SDG 5）。"
41,校內選拔賽,沿海城市預測將受海平面上升與強颱侵襲影響，城市正在規劃「氣候韌性城市」。下列哪一項最符合氣候韌性城市的設計理念？,增加觀光飯店設施,擴大港口貿易容量,廢除氣象預警系統以節省成本,提高防洪堤與綠地滯洪設施,(D) 提高防洪堤與綠地滯洪設施,"【正解說明】「氣候韌性城市（Climate Resilient City）」強調提高城市對極端氣候衝擊的耐受與調適能力。結合工程手段（提高防洪堤防）與自然解方（海綿城市綠地滯洪池、雨水花園），能有效抵禦海平面上升與暴雨淹水衝擊。
【其他選項解析】
(A) 觀光飯店、(B) 港口貿易：屬於經濟開發，未涵蓋氣候調適韌性。
(C) 廢除氣象預警：完全喪失防災應變能力，嚴重危害公共安全。"
